"Accepted Symbol","Synonym Symbol","Scientific Name","Duration","Active Growth Period","Foliage Color","pH (Minimum)","pH (Maximum)","Precipitation (Minimum)","Precipitation (Maximum)","Shade Tolerance","Temperature, Minimum (°F)"
"LOCOC5","","Lotus corniculatus var. corniculatus","Perennial","","","","","","","",""
"LOGL10","","Lotus glaber","Perennial","","","","","","","",""
"LUDWI","","Ludwigia","","","","","","","","",""
"LUAL2","","Ludwigia alternifolia","Perennial","","","","","","","",""
"LUBR","","Ludwigia brevipes","Perennial","","","","","","","",""
"LUDE4","","Ludwigia decurrens","Annual, Perennial","Summer","Green","4.0","6.0","28","55","Tolerant","7"
"LUGL","","Ludwigia glandulosa","Perennial","","","","","","","",""
"LUGLG2","","Ludwigia glandulosa ssp. glandulosa","Perennial","","","","","","","",""
"LUHI","","Ludwigia hirtella","Perennial","","","","","","","",""
"LULE4","","Ludwigia leptocarpa","Annual, Perennial","","","","","","","",""
"LULI","","Ludwigia linearis","Perennial","","","","","","","",""
"LUPA","","Ludwigia palustris","Perennial","Summer","Gray-Green","5.0","8.5","25","60","Intolerant","-34"
"LUPE5","","Ludwigia peploides","Perennial","","","","","","","",""
"LUPEG2","","Ludwigia peploides ssp. glabrescens","Perennial","","","","","","","",""
"LUSP","","Ludwigia sphaerocarpa","Perennial","","","","","","","",""
"LUNAR","","Lunaria","","","","","","","","",""
"LUAN","","Lunaria annua","Annual, Biennial","","","","","","","",""
"LURE","","Lunaria rediviva","Perennial","","","","","","","",""
"LUPIN","","Lupinus","","","","","","","","",""
"LUPE3","","Lupinus perennis","Perennial","","","","","","","",""
"LUPEP","","Lupinus perennis ssp. perennis","Perennial","","","","","","","",""
"LUPEO2","","Lupinus perennis ssp. perennis var. occidentalis","Perennial","","","","","","","",""
"LUPEP3","","Lupinus perennis ssp. perennis var. perennis","Perennial","","","","","","","",""
"LUPO2","","Lupinus polyphyllus","Perennial","","","","","","","",""
"LUPOP2","","Lupinus polyphyllus ssp. polyphyllus","Perennial","","","","","","","",""
"LUPOP4","","Lupinus polyphyllus ssp. polyphyllus var. polyphyllus","Perennial","","","","","","","",""
"LUZUL","","Luzula","","","","","","","","",""
"LUAC","","Luzula acuminata","Perennial","","","","","","","",""
"LUACA2","","Luzula acuminata ssp. acuminata","Perennial","","","","","","","",""
"LUACC2","","Luzula acuminata ssp. carolinae","Perennial","","","","","","","",""
"LUBU","","Luzula bulbosa","Perennial","","","","","","","",""
"LUEC","","Luzula echinata","Perennial","","","","","","","",""
"LUMU2","","Luzula multiflora","Perennial","","","","","","","",""
"LUMUM","","Luzula multiflora ssp. multiflora","Perennial","","","","","","","",""
"LUMUM2","","Luzula multiflora ssp. multiflora var. multiflora","Perennial","","","","","","","",""
"LYCHN","","Lychnis","","","","","","","","",""
"LYCO","","Lychnis coronaria","Perennial","","","","","","","",""
"LYFL3","","Lychnis flos-cuculi","Perennial","","","","","","","",""
"LYCIU","","Lycium","","","","","","","","",""
"LYBA4","","Lycium barbarum","Perennial","","","","","","","",""
"LYCH","","Lycium chinense","Perennial","","","","","","","",""
"LYCOP6","","Lycopodiella","","","","","","","","",""
"LYAL5","","Lycopodiella alopecuroides","Perennial","","","","","","","",""
"LYAP4","","Lycopodiella appressa","Perennial","","","","","","","",""
"LYCA5","","Lycopodiella caroliniana","Perennial","","","","","","","",""
"LYCAC","","Lycopodiella caroliniana var. caroliniana","Perennial","","","","","","","",""
"LYCO8","","Lycopodiella ×copelandii","Perennial","","","","","","","",""
"LYIN2","","Lycopodiella inundata","Perennial","","","","","","","",""
"LYCOP2","","Lycopodium","","","","","","","","",""
"LYAN2","","Lycopodium annotinum","Perennial","Spring, Summer, Fall","Green","4.0","5.3","32","60","Tolerant","-43"
"LYCL","","Lycopodium clavatum","Perennial","","","","","","","",""
"LYDE","","Lycopodium dendroideum","Perennial","","","","","","","",""
"LYDI3","","Lycopodium digitatum","Perennial","","","","","","","",""
"LYHI2","","Lycopodium hickeyi","Perennial","","","","","","","",""
"LYOB","","Lycopodium obscurum","Perennial","","","","","","","",""
"LYTR","","Lycopodium tristachyum","Perennial","","","","","","","",""
"LYCOP4","","Lycopus","","","","","","","","",""
"LYAM","","Lycopus americanus","Perennial","Summer and Fall","Green","5.2","7.8","12","60","Tolerant","-38"
"LYAM2","","Lycopus amplectens","Perennial","","","","","","","",""
"LYEU","","Lycopus europaeus","Perennial","","","","","","","",""
"LYRU","","Lycopus rubellus","Perennial","Summer and Fall","Green","5.2","7.2","30","60","Tolerant","-23"
"LYSH2","","Lycopus ×sherardii","Perennial","","","","","","","",""
"LYUN","","Lycopus uniflorus","Perennial","","","","","","","",""
"LYUNU2","","Lycopus uniflorus var. uniflorus","Perennial","","","","","","","",""
"LYVI4","","Lycopus virginicus","Perennial","Spring and Summer","Dark Green","5.0","6.3","35","80","Tolerant","-33"
"LYGOD2","","Lygodium","","","","","","","","",""
"LYPA3","","Lygodium palmatum","Perennial","","","","","","","",""
"LYONI","","Lyonia","","","","","","","","",""
"LYLI","","Lyonia ligustrina","Perennial","","Green","5.0","6.5","39","80","Tolerant","-21"
"LYLIL","","Lyonia ligustrina var. ligustrina","Perennial","","","","","","","",""
"LYMA2","","Lyonia mariana","Perennial","","","","","","","",""
"LYSIM","","Lysimachia","","","","","","","","",""
"LYCI","","Lysimachia ciliata","Perennial","","","","","","","",""
"LYHY","","Lysimachia hybrida","Perennial","","","","","","","",""
"LYJA2","","Lysimachia japonica","Perennial","","","","","","","",""
"LYLA","","Lysimachia lanceolata","Perennial","Spring and Summer","Green","5.0","7.0","32","55","Tolerant","-23"
"LYNU","","Lysimachia nummularia","Perennial","","","","","","","",""
"LYPR","","Lysimachia ×producta","Perennial","","","","","","","",""
"LYPU2","","Lysimachia punctata","Perennial","","","","","","","",""
"LYQU","","Lysimachia quadriflora","Perennial","","","","","","","",""
"LYQU2","","Lysimachia quadrifolia","Perennial","","","","","","","",""
"LYTE2","","Lysimachia terrestris","Perennial","","","","","","","",""
"LYTH2","","Lysimachia thyrsiflora","Perennial","Spring and Summer","Green","4.8","7.2","16","55","Intermediate","-33"
"LYVU","","Lysimachia vulgaris","Perennial","","","","","","","",""
"LYTHR","","Lythrum","","","","","","","","",""
"LYAL4","","Lythrum alatum","Perennial","","","","","","","",""
"LYALA4","","Lythrum alatum var. alatum","Perennial","","","","","","","",""
"LYLI2","","Lythrum lineare","Perennial","","","","","","","",""
"LYSA2","","Lythrum salicaria","Perennial","","","","","","","",""
"MACLE","","Macleaya","","","","","","","","",""
"MACO10","","Macleaya cordata","Perennial","","","","","","","",""
"MACLU","","Maclura","","","","","","","","",""
"MAPO","","Maclura pomifera","Perennial","Spring and Summer","Green","4.5","7.5","24","40","Intolerant","-23"
"MADIA","","Madia","","","","","","","","",""
"MASA","","Madia sativa","Annual","","","","","","","",""
"MAGNO","","Magnolia","","","","","","","","",""
"MAAC","","Magnolia acuminata","Perennial","Spring and Summer","Green","5.2","7.0","35","60","Intermediate","-16"
"MAGR4","","Magnolia grandiflora","Perennial","Spring and Summer","Green","4.5","6.5","35","60","Tolerant","7"
"MAMA2","","Magnolia macrophylla","Perennial","","","","","","","",""
"MATR","","Magnolia tripetala","Perennial","Spring","Green","5.0","7.5","40","60","Tolerant","-3"
"MAVI2","","Magnolia virginiana","Perennial","Spring and Summer","Dark Green","5.0","6.9","40","80","Intermediate","17"
"MAHON","","Mahonia","","","","","","","","",""
"MABE2","","Mahonia bealei","Perennial","","","","","","","",""
"MAIAN","","Maianthemum","","","","","","","","",""
"MACA4","","Maianthemum canadense","Perennial","","","","","","","",""
"MARA7","","Maianthemum racemosum","Perennial","","","","","","","",""
"MARAR","","Maianthemum racemosum ssp. racemosum","Perennial","","","","","","","",""
"MAST4","","Maianthemum stellatum","Perennial","","","","","","","",""
"MALAX","","Malaxis","","","","","","","","",""
"MAUN","","Malaxis unifolia","Perennial","","","","","","","",""
"MALUS","","Malus","","","","","","","","",""
"MAAN3","","Malus angustifolia","Perennial","","","","","","","",""
"MAANA","","Malus angustifolia var. angustifolia","Perennial","","","","","","","",""
"MACO5","","Malus coronaria","Perennial","","","","","","","",""
"MAPL","","Malus ×platycarpa","Perennial","","","","","","","",""
"MAPU","","Malus pumila","Perennial","","","","","","","",""
"MATO6","","Malus toringo","Perennial","","","","","","","",""
"MALVA","","Malva","","","","","","","","",""
"MAMO2","","Malva moschata","Perennial","","","","","","","",""
"MANE","","Malva neglecta","Annual, Biennial, Perennial","","","","","","","",""
"MAPA5","","Malva parviflora","Annual, Biennial, Perennial","","","","","","","",""
"MAPU5","","Malva pusilla","Annual, Biennial","","","","","","","",""
"MASY","","Malva sylvestris","Annual, Biennial, Perennial","","","","","","","",""
"MAVE","","Malva verticillata","Annual","","","","","","","",""
"MANFR","","Manfreda","","","","","","","","",""
"MAVI5","","Manfreda virginica","Perennial","","","","","","","",""
"MARRU","","Marrubium","","","","","","","","",""
"MAVU","","Marrubium vulgare","Perennial","","","","","","","",""
"MARSH","","Marshallia","","","","","","","","",""
"MAGR7","","Marshallia grandiflora","Perennial","","","","","","","",""
"MARSI","","Marsilea","","","","","","","","",""
"MAQU","","Marsilea quadrifolia","Perennial","","","","","","","",""
"MATEL","","Matelea","","","","","","","","",""
"MACA9","","Matelea carolinensis","Perennial","","","","","","","",""
"MADE3","","Matelea decipiens","Perennial","","","","","","","",""
"MAGO","","Matelea gonocarpos","Perennial","","","","","","","",""
"MAOB2","","Matelea obliqua","Perennial","","","","","","","",""
"MATRI","","Matricaria","","","","","","","","",""
"MADI6","","Matricaria discoidea","Annual","","","","","","","",""
"MARE6","","Matricaria recutita","Annual","","","","","","","",""
"MATTE","","Matteuccia","","","","","","","","",""
"MAST","","Matteuccia struthiopteris","Perennial","","","","","","","",""
"MAURA2","","Maurandella","","","","","","","","",""
"MAAN9","","Maurandella antirrhiniflora","Perennial","Spring","Green","6.8","9.0","8","18","Intolerant","-8"
"MAZUS","","Mazus","","","","","","","","",""
"MAPU7","","Mazus pumilus","Annual","","","","","","","",""
"MECAR","","Mecardonia","","","","","","","","",""
"MEAC","","Mecardonia acuminata","Perennial","","","","","","","",""
"MEACA","","Mecardonia acuminata var. acuminata","Perennial","","","","","","","",""
"MEDEO","","Medeola","","","","","","","","",""
"MEVI","","Medeola virginiana","Perennial","","","","","","","",""
"MEDIC","","Medicago","","","","","","","","",""
"MEHE5","","Medicago heldreichii","Annual","","","","","","","",""
"MELU","","Medicago lupulina","Annual, Perennial","Fall, Winter and Spring","Dark Green","5.5","8.0","13","60","Intolerant","23"
"MEMI","","Medicago minima","Annual","","","","","","","",""
"MEMO5","","Medicago monspeliaca","Annual","","","","","","","",""
"MEOR2","","Medicago orbicularis","Annual","","","","","","","",""
"MESA","","Medicago sativa","Annual, Perennial","Spring, Summer, Fall","Green","6.0","8.5","12","65","Intolerant","-43"
"MESAF","","Medicago sativa ssp. falcata","Annual, Perennial","","","","","","","",""
"MESAS","","Medicago sativa ssp. sativa","Annual, Perennial","","","","","","","",""
"MESC6","","Medicago scutellata","Annual","Fall, Winter and Spring","Dark Green","5.9","7.5","18","50","Intolerant","32"
"MELAM","","Melampodium","","","","","","","","",""
"MESE2","","Melampodium sericeum","Annual","","","","","","","",""
"MELAM2","","Melampyrum","","","","","","","","",""
"MELI2","","Melampyrum lineare","Annual","","","","","","","",""
"MELIL2","","Melampyrum lineare var. latifolium","Annual","","","","","","","",""
"MELIL3","","Melampyrum lineare var. lineare","Annual","","","","","","","",""
"MELIP2","","Melampyrum lineare var. pectinatum","Annual","","","","","","","",""
"MELIC","","Melica","","","","","","","","",""
"MEMU","","Melica mutica","Perennial","","","","","","","",""
"MENI","","Melica nitens","Perennial","","","","","","","",""
"MELIL","","Melilotus","","","","","","","","",""
"MEOF","","Melilotus officinalis","Annual, Biennial, Perennial","Spring and Summer","Green","6.5","8.2","17","65","Intolerant","-38"
"MELIN","","Melinis","","","","","","","","",""
"MERE9","","Melinis repens","Annual, Perennial","","","","","","","",""
"MELIS","","Melissa","","","","","","","","",""
"MEOF2","","Melissa officinalis","Perennial","","","","","","","",""
"MELOC","","Melochia","","","","","","","","",""
"MECO4","","Melochia corchorifolia","Annual","","","","","","","",""
"MELOT","","Melothria","","","","","","","","",""
"MEPE3","","Melothria pendula","Perennial","","","","","","","",""
"MEPEP","","Melothria pendula var. pendula","Perennial","","","","","","","",""
"MENIS","","Menispermum","","","","","","","","",""
"MECA3","","Menispermum canadense","Perennial","","","","","","","",""
"MENTH","","Mentha","","","","","","","","",""
"MEAQ","","Mentha aquatica","Perennial","","","","","","","",""
"MEAR4","","Mentha arvensis","Perennial","Spring","Green","5.0","7.0","20","50","Intermediate","-33"
"MEGR2","","Mentha ×gracilis","Perennial","","","","","","","",""
"MEPI","","Mentha ×piperita","Perennial","","","","","","","",""
"MEPU","","Mentha pulegium","Perennial","","","","","","","",""
"MERO2","","Mentha ×rotundifolia","Perennial","","","","","","","",""
"MESP3","","Mentha spicata","Perennial","","","","","","","",""
"MENYA","","Menyanthes","","","","","","","","",""
"METR3","","Menyanthes trifoliata","Perennial","Spring and Summer","Green","4.8","6.5","12","55","Intermediate","-33"
"MENZI","","Menziesia","","","","","","","","",""
"MEPI2","","Menziesia pilosa","Perennial","","","","","","","",""
"MERCU","","Mercurialis","","","","","","","","",""
"MEAN","","Mercurialis annua","Annual","","","","","","","",""
"MERTE","","Mertensia","","","","","","","","",""
"MEVI3","","Mertensia virginica","Perennial","Spring","Green","4.5","8.0","26","54","Tolerant","-28"
"MICRA","","Micranthemum","","","","","","","","",""
"MIMI6","","Micranthemum micranthemoides","Annual","","","","","","","",""
"MICRO7","","Microstegium","","","","","","","","",""
"MIVI","","Microstegium vimineum","Annual","","","","","","","",""
"MICRO18","","Microthlaspi","","","","","","","","",""
"MIPE8","","Microthlaspi perfoliatum","Annual","","","","","","","",""
"MIKAN","","Mikania","","","","","","","","",""
"MISC","","Mikania scandens","Perennial","Summer","Green","5.7","8.7","30","60","Tolerant","-38"
"MILIU","","Milium","","","","","","","","",""
"MIEF","","Milium effusum","Perennial","","","","","","","",""
"MIEFC","","Milium effusum var. cisatlanticum","Perennial","","","","","","","",""
"MIMOS","","Mimosa","","","","","","","","",""
"MIPU8","","Mimosa pudica","Annual, Perennial","","","","","","","",""
"MIPUP2","","Mimosa pudica var. pudica","Annual, Perennial","","","","","","","",""
"MIMUL","","Mimulus","","","","","","","","",""
"MIAL2","","Mimulus alatus","Perennial","Spring","Green","6.2","7.8","24","60","Tolerant","-23"
"MIRI","","Mimulus ringens","Perennial","","","","","","","",""
"MIRIR","","Mimulus ringens var. ringens","Perennial","","","","","","","",""
"MINUA","","Minuartia","","","","","","","","",""
"MICA8","","Minuartia caroliniana","Perennial","","","","","","","",""
"MIGL5","","Minuartia glabra","Perennial","","","","","","","",""
"MIMI2","","Minuartia michauxii","Annual, Perennial","","","","","","","",""
"MIMIM","","Minuartia michauxii var. michauxii","Annual, Perennial","","","","","","","",""
"MIRAB","","Mirabilis","","","","","","","","",""
"MIJA","","Mirabilis jalapa","Perennial","","","","","","","",""
"MINY","","Mirabilis nyctaginea","Perennial","","","","","","","",""
"MISCA","","Miscanthus","","","","","","","","",""
"MISI","","Miscanthus sinensis","Perennial","Spring and Summer","Green","4.6","7.5","24","55","Intolerant","-18"
"MITCH","","Mitchella","","","","","","","","",""
"MIRE","","Mitchella repens","Perennial","","","","","","","",""
"MITEL","","Mitella","","","","","","","","",""
"MIDI3","","Mitella diphylla","Perennial","","","","","","","",""
"MODIO","","Modiola","","","","","","","","",""
"MOCA","","Modiola caroliniana","Annual, Biennial, Perennial","","","","","","","",""
"MOEHR","","Moehringia","","","","","","","","",""
"MOLA6","","Moehringia lateriflora","Perennial","","","","","","","",""
"MOENC","","Moenchia","","","","","","","","",""
"MOER","","Moenchia erecta","Annual","","","","","","","",""
"MOLLU","","Mollugo","","","","","","","","",""
"MOGR3","","Mollugo gracillima","Annual, Perennial","","","","","","","",""
"MONU2","","Mollugo nudicaulis","Annual, Perennial","","","","","","","",""
"MOVE","","Mollugo verticillata","Annual","","","","","","","",""
"MONAR","","Monarda","","","","","","","","",""
"MOCL","","Monarda clinopodia","Perennial","","","","","","","",""
"MODI","","Monarda didyma","Perennial","","","","","","","",""
"MOFI","","Monarda fistulosa","Perennial","Spring","Gray-Green","6.0","8.0","20","60","Intermediate","-32"
"MOFIF","","Monarda fistulosa ssp. fistulosa","Perennial","","","","","","","",""
"MOFIF2","","Monarda fistulosa ssp. fistulosa var. fistulosa","Perennial","","","","","","","",""
"MOFIM3","","Monarda fistulosa ssp. fistulosa var. mollis","Perennial","","","","","","","",""
"MOME","","Monarda media","Perennial","","","","","","","",""
"MOPU","","Monarda punctata","Annual, Biennial, Perennial","","","","","","","",""
"MOPUP","","Monarda punctata ssp. punctata","Annual, Biennial, Perennial","","","","","","","",""
"MOPUP2","","Monarda punctata ssp. punctata var. punctata","Annual, Biennial, Perennial","","","","","","","",""
"MONOT","","Monotropa","","","","","","","","",""
"MOHY3","","Monotropa hypopithys","Perennial","","","","","","","",""
"MOUN3","","Monotropa uniflora","Perennial","","","","","","","",""
"MONOT2","","Monotropsis","","","","","","","","",""
"MOOD2","","Monotropsis odorata","Perennial","","","","","","","",""
"MONTI","","Montia","","","","","","","","",""
"MOLI4","","Montia linearis","Annual","","","","","","","",""
"MOREL2","","Morella","","","","","","","","",""
"MOCA7","","Morella caroliniensis","Perennial","Spring","Dark Green","4.5","7.0","44","60","Tolerant","-13"
"MOCE2","","Morella cerifera","Perennial","Spring and Summer","Green","5.4","9.1","34","60","Intolerant","-3"
"MOPE6","","Morella pensylvanica","Perennial","Spring","Green","5.5","7.8","32","65","Intolerant","-28"
"MORUS","","Morus","","","","","","","","",""
"MOAL","","Morus alba","Perennial","Spring and Summer","Green","5.0","7.0","30","60","Intermediate","-18"
"MORU2","","Morus rubra","Perennial","Spring and Summer","Green","5.0","7.0","35","60","Tolerant","-33"
"MORUR","","Morus rubra var. rubra","Perennial","","","","","","","",""
"MUHLE","","Muhlenbergia","","","","","","","","",""
"MUAS","","Muhlenbergia asperifolia","Perennial","Spring, Summer, Fall","Yellow-Green","6.0","8.4","12","40","Tolerant","-18"
"MUBU","","Muhlenbergia bushii","Perennial","","","","","","","",""
"MUCA2","","Muhlenbergia capillaris","Perennial","Spring and Summer","Yellow-Green","5.8","6.8","30","90","Intolerant","7"
"MUFR2","","Muhlenbergia frondosa","Perennial","Spring, Summer, Fall","Green","5.9","7.9","36","50","Tolerant","-38"
"MUGL","","Muhlenbergia glabriflora","Perennial","","","","","","","",""
"MUGL3","","Muhlenbergia glomerata","Perennial","Spring, Summer, Fall","Green","5.3","7.5","30","50","Intermediate","-33"
"MUME2","","Muhlenbergia mexicana","Perennial","Spring, Summer, Fall","Green","5.5","7.5","20","50","Intermediate","-33"
"MUSC","","Muhlenbergia schreberi","Perennial","Spring","Green","4.5","7.5","26","55","Tolerant","-33"
"MUSO","","Muhlenbergia sobolifera","Perennial","","","","","","","",""
"MUSY","","Muhlenbergia sylvatica","Perennial","Spring, Summer, Fall","Green","5.9","7.5","28","45","Intermediate","-28"
"MUTE","","Muhlenbergia tenuiflora","Perennial","","","","","","","",""
"MUTO","","Muhlenbergia torreyana","Perennial","","","","","","","",""
"MUUN","","Muhlenbergia uniflora","Perennial","Spring and Summer","Green","4.8","6.8","35","60","Intolerant","-33"
"MURDA","","Murdannia","","","","","","","","",""
"MUKE","","Murdannia keisak","Perennial","","","","","","","",""
"MUSCA","","Muscari","","","","","","","","",""
"MUBO","","Muscari botryoides","Perennial","","","","","","","",""
"MUNE","","Muscari neglectum","Perennial","","","","","","","",""
"MYOSO","","Myosotis","","","","","","","","",""
"MYAR","","Myosotis arvensis","Annual","","","","","","","",""
"MYDI","","Myosotis discolor","Annual, Perennial","","","","","","","",""
"MYLA","","Myosotis laxa","Annual, Biennial, Perennial","","","","","","","",""
"MYMA","","Myosotis macrosperma","Annual","","","","","","","",""
"MYSC","","Myosotis scorpioides","Perennial","Spring and Summer","Green","5.5","7.5","24","55","Intermediate","-33"
"MYST2","","Myosotis stricta","Annual","","","","","","","",""
"MYVE","","Myosotis verna","Annual, Biennial","","","","","","","",""
"MYOSO2","","Myosoton","","","","","","","","",""
"MYAQ","","Myosoton aquaticum","Perennial","","","","","","","",""
"MYRIO","","Myriophyllum","","","","","","","","",""
"MYAQ2","","Myriophyllum aquaticum","Perennial","","","","","","","",""
"MYHE2","","Myriophyllum heterophyllum","Perennial","","","","","","","",""
"MYHU","","Myriophyllum humile","Perennial","","","","","","","",""
"MYSI","","Myriophyllum sibiricum","Perennial","","","","","","","",""
"MYSP2","","Myriophyllum spicatum","Perennial","","","","","","","",""
"MYTE","","Myriophyllum tenellum","Perennial","","","","","","","",""
"MYVE3","","Myriophyllum verticillatum","Perennial","","","","","","","",""
"NAJAS","","Najas","","","","","","","","",""
"NAFL","","Najas flexilis","Annual","Spring, Summer, Fall","Green","6.5","7.5","","","Intermediate","47"
"NAGR","","Najas gracillima","Annual","","","","","","","",""
"NAGU","","Najas guadalupensis","Annual","Summer","Gray-Green","5.2","9.6","","","Intolerant","-36"
"NAGUG","","Najas guadalupensis ssp. guadalupensis","Annual","","","","","","","",""
"NAMA4","","Nama","","","","","","","","",""
"NAHI","","Nama hispidum","Annual","","","","","","","",""
"NARCI","","Narcissus","","","","","","","","",""
"NAIN","","Narcissus ×incomparabilis","Perennial","","","","","","","",""
"NAJO","","Narcissus jonquilla","Perennial","","","","","","","",""
"NAME2","","Narcissus ×medioluteus","Perennial","","","","","","","",""
"NAPO","","Narcissus poeticus","Perennial","","","","","","","",""
"NAPS","","Narcissus pseudonarcissus","Perennial","","","","","","","",""
"NASTU2","","Nasturtium","","","","","","","","",""
"NAOF","","Nasturtium officinale","Perennial","","","","","","","",""
"NELUM","","Nelumbo","","","","","","","","",""
"NELU","","Nelumbo lutea","Perennial","Summer","Green","4.6","8.7","","","Intolerant","-36"
"NENU2","","Nelumbo nucifera","Perennial","","","","","","","",""
"NEMOP","","Nemophila","","","","","","","","",""
"NEAP","","Nemophila aphylla","Annual","","","","","","","",""
"NEOBE","","Neobeckia","","","","","","","","",""
"NEAQ2","","Neobeckia aquatica","Perennial","","","","","","","",""
"NEPET","","Nepeta","","","","","","","","",""
"NECA2","","Nepeta cataria","Perennial","","","","","","","",""
"NICAN","","Nicandra","","","","","","","","",""
"NIPH","","Nicandra physalodes","Annual","","","","","","","",""
"NICOT","","Nicotiana","","","","","","","","",""
"NIAL","","Nicotiana alata","Perennial","","","","","","","",""
"NIGL","","Nicotiana glauca","Perennial","","","","","","","",""
"NILO","","Nicotiana longiflora","Annual, Perennial","","","","","","","",""
"NIOB","","Nicotiana obtusifolia","Annual, Biennial, Perennial","","","","","","","",""
"NIOBO","","Nicotiana obtusifolia var. obtusifolia","Annual, Biennial, Perennial","","","","","","","",""
"NIPL2","","Nicotiana plumbaginifolia","Annual","","","","","","","",""
"NITA","","Nicotiana tabacum","Annual, Perennial","","","","","","","",""
"NIGEL","","Nigella","","","","","","","","",""
"NIDA","","Nigella damascena","Annual","","","","","","","",""
"NUPHA","","Nuphar","","","","","","","","",""
"NULU","","Nuphar lutea","Perennial","","","","","","","",""
"NULUA","","Nuphar lutea ssp. advena","Perennial","","","","","","","",""
"NULUV","","Nuphar lutea ssp. variegata","Perennial","","","","","","","",""
"NUTTA","","Nuttallanthus","","","","","","","","",""
"NUCA","","Nuttallanthus canadensis","Annual, Biennial","","","","","","","",""
"NYMPH","","Nymphaea","","","","","","","","",""
"NYOD","","Nymphaea odorata","Perennial","","","","","","","",""
"NYODO","","Nymphaea odorata ssp. odorata","Perennial","","","","","","","",""
"NYODT","","Nymphaea odorata ssp. tuberosa","Perennial","","","","","","","",""
"NYMPH2","","Nymphoides","","","","","","","","",""
"NYAQ","","Nymphoides aquatica","Perennial","","","","","","","",""
"NYCO","","Nymphoides cordata","Perennial","","","","","","","",""
"NYPE","","Nymphoides peltata","Perennial","","","","","","","",""
"NYSSA","","Nyssa","","","","","","","","",""
"NYBI","","Nyssa biflora","Perennial","Spring and Summer","Green","4.5","5.7","40","60","Intolerant","-18"
"NYSY","","Nyssa sylvatica","Perennial","Spring and Summer","Green","4.5","6.0","40","60","Tolerant","-18"
"OBOLA","","Obolaria","","","","","","","","",""
"OBVI","","Obolaria virginica","Perennial","","","","","","","",""
"OCLEM","","Oclemena","","","","","","","","",""
"OCAC","","Oclemena acuminata","Perennial","","","","","","","",""
"OCNE2","","Oclemena nemoralis","Perennial","","","","","","","",""
"OENAN","","Oenanthe","","","","","","","","",""
"OEAQ","","Oenanthe aquatica","Perennial","","","","","","","",""
"OENOT","","Oenothera","","","","","","","","",""
"OEAR","","Oenothera argillicola","Biennial","","","","","","","",""
"OEBI","","Oenothera biennis","Biennial","Spring, Summer, Fall","Green","5.0","7.0","20","55","Intolerant","-28"
"OEFR","","Oenothera fruticosa","Perennial","Spring and Summer","Green","4.5","7.0","32","62","Tolerant","-33"
"OEFRF","","Oenothera fruticosa ssp. fruticosa","Perennial","","","","","","","",""
"OEFRG","","Oenothera fruticosa ssp. glauca","Perennial","","","","","","","",""
"OEGR2","","Oenothera grandis","Annual","","","","","","","",""
"OEHU","","Oenothera humifusa","Perennial","","","","","","","",""
"OELA","","Oenothera laciniata","Annual, Perennial","","","","","","","",""
"OENU2","","Oenothera nutans","Biennial","","","","","","","",""
"OEOA","","Oenothera oakesiana","Biennial","","","","","","","",""
"OEPA5","","Oenothera parviflora","Biennial","","","","","","","",""
"OEPE","","Oenothera perennis","Perennial","","","","","","","",""
"OEVI","","Oenothera villosa","Biennial, Perennial","","","","","","","",""
"OEVIV","","Oenothera villosa ssp. villosa","Biennial, Perennial","","","","","","","",""
"OLDEN","","Oldenlandia","","","","","","","","",""
"OLUN","","Oldenlandia uniflora","Annual","","","","","","","",""
"OLIGO3","","Oligoneuron","","","","","","","","",""
"OLRI","","Oligoneuron rigidum","Perennial","","","","","","","",""
"OLRIR","","Oligoneuron rigidum var. rigidum","Perennial","Spring and Summer","Green","5.0","7.5","14","60","Intermediate","-43"
"ONOCL","","Onoclea","","","","","","","","",""
"ONSE","","Onoclea sensibilis","Perennial","","","","","","","",""
"ONONI","","Ononis","","","","","","","","",""
"ONRE","","Ononis repens","Perennial","","","","","","","",""
"ONSP","","Ononis spinosa","Perennial","","","","","","","",""
"ONOPO","","Onopordum","","","","","","","","",""
"ONAC","","Onopordum acanthium","Biennial","","","","","","","",""
"ONOSM","","Onosmodium","","","","","","","","",""
"ONBE","","Onosmodium bejariense","Perennial","","","","","","","",""
"ONBEH","","Onosmodium bejariense var. hispidissimum","Perennial","","","","","","","",""
"ONVI2","","Onosmodium virginianum","Perennial","","","","","","","",""
"OPHIO","","Ophioglossum","","","","","","","","",""
"OPPU3","","Ophioglossum pusillum","Perennial","","","","","","","",""
"OPVU","","Ophioglossum vulgatum","Perennial","","","","","","","",""
"OPLIS","","Oplismenus","","","","","","","","",""
"OPHI","","Oplismenus hirtellus","Perennial","","","","","","","",""
"OPHIU2","","Oplismenus hirtellus ssp. undulatifolius","Perennial","","","","","","","",""
"OPUNT","","Opuntia","","","","","","","","",""
"OPHU","","Opuntia humifusa","Perennial","","","","","","","",""
"ORBEX","","Orbexilum","","","","","","","","",""
"ORPE","","Orbexilum pedunculatum","Perennial","","","","","","","",""
"ORPEP2","","Orbexilum pedunculatum var. pedunculatum","Perennial","","","","","","","",""
"ORPEP","","Orbexilum pedunculatum var. psoralioides","Perennial","","","","","","","",""
"ORIGA","","Origanum","","","","","","","","",""
"ORVU","","Origanum vulgare","Perennial","","","","","","","",""
"ORNIT","","Ornithogalum","","","","","","","","",""
